PPV,Person,Distance
44,398,4.88
2,399,3.72
31,400,3.46
92,401,1.64
31,402,4.17
2,403,2.78
44,404,2.5
0,405,1.01
0,406,1.51
44,407,5.21
0,408,5.43
70,409,0.33
44,410,6.78
70,411,2.52
19,412,3.31
44,413,2.94
44,414,2.97
0,415,5.59
0,416,4.97
58,417,1.91
31,418,4.37
97,419,0.45
70,420,1.53
58,421,5.16
44,422,4.07
19,423,3.27
40,424,1.2
58,425,6.41
58,426,2.44
44,427,1.11
19,428,4.58
40,429,1.16
40,430,2.04
40,431,3.49
58,432,2.44
92,433,2.03
58,434,1.5
31,435,3.89
70,436,3.3
44,437,5.1
44,438,2.22
58,439,5.28
92,440,3.34
92,441,2.99
44,442,5.56
39,443,1.61
39,444,1.66
40,445,1.81
39,446,3.23
19,447,3.11
40,448,1.31
40,449,2.17
97,450,3.52
19,451,3.06
58,452,5.73
31,453,3.55
40,454,2.26
40,455,2.35
40,456,6.47
0,457,6.68
40,458,7.42
19,459,1.88
92,460,2.04
44,461,3.69
0,462,7.18
0,463,2.43
19,464,2.57
40,465,6.74
97,466,3.26
44,467,3.71
19,468,2.56
44,469,5.4
0,470,2.07
31,471,4.02
97,472,3.73
70,473,0.79
19,474,0.49
44,475,3.13
0,476,4.48
31,477,3.27
97,478,5.11
2,479,0.98
0,480,4.33
40,481,4.62
0,482,0.58
44,483,4.29
0,484,1.78
70,485,6.83
15,486,2.14
70,487,1.14
19,488,1.76
44,489,2.24
0,490,1.08
19,491,1.06
40,492,3.31
40,493,3.11
19,494,2.11
44,495,0.42
31,496,6.92
0,497,4.53
44,498,3.77
58,499,7.4
70,500,7.13
40,501,1.52
40,502,2.44
0,503,2.39
0,504,7.5
19,505,0.75
40,506,2.07
40,507,5.16
39,508,2.05
0,509,3.06
31,510,4.43
0,511,4.46
19,512,2.51
0,513,6.84
0,514,6.06
58,515,3.49
0,516,5.19
19,517,4.03
31,518,4.52
58,519,2.01
2,520,3.98
70,521,3.0
92,522,2.44
19,523,3.07
44,524,5.55
58,525,3.32
19,526,1.58
58,527,2.14
0,528,8.56
19,529,1.7
19,530,4.31
40,531,2.79
58,532,3.77
0,533,4.61
44,534,4.88
2,535,1.55
92,536,3.01
58,537,6.39
71,538,2.53
70,539,2.27
0,540,4.76
31,541,3.38
70,542,2.27
0,543,5.85
0,544,5.66
31,545,3.97
44,546,5.35
19,547,1.02
19,548,2.84
0,549,2.89
44,550,5.85
39,551,1.31
0,552,1.6
70,553,7.75
39,554,1.62
44,555,5.45
40,556,5.93
19,557,4.51
31,558,7.4
44,559,1.54
58,560,5.44
40,561,1.44
58,562,4.89
40,563,3.44
19,564,2.91
40,565,1.81
44,566,3.57
92,567,1.54
0,568,4.78
0,569,1.04
0,570,5.46
70,571,7.96
19,572,4.22
0,573,5.4
71,574,1.7
19,575,1.85
44,576,4.85
58,577,7.18
40,578,1.49
70,579,2.98
40,580,7.61
44,581,4.51
19,582,2.79
97,583,0.89
44,584,3.38
0,585,6.79
58,586,2.72
0,587,0.79
0,588,7.21
44,589,1.83
19,590,0.61
40,591,3.12
2,592,2.65
58,593,3.95
70,594,2.12
19,595,1.89
0,596,6.51
31,597,3.28
44,598,5.16
44,599,3.71
71,600,0.73
0,601,7.11
31,602,4.14
70,603,1.39
97,604,4.42
44,605,1.65
44,606,3.14
40,607,0.69
44,608,2.46
97,609,2.92
40,610,3.57
44,611,4.72
58,612,7.18
40,613,8.23
0,614,5.59
40,615,1.82
40,616,2.49
58,617,2.21
58,618,7.67
92,619,1.43
0,620,3.22
92,621,3.62
97,622,5.03
19,623,0.83
19,624,3.42
44,625,0.58
0,626,1.72
97,627,5.06
44,628,0.51
0,629,4.89
0,630,5.81
71,631,1.75
15,632,2.41
2,633,2.68
40,634,0.51
0,635,2.45
0,636,4.51
19,637,1.88
0,638,4.36
19,639,3.43
44,640,3.29
31,641,3.65
2,642,1.15
58,643,5.78
70,644,2.59
97,645,2.11
40,646,7.28
44,647,3.76
40,648,6.34
70,649,7.48
5,650,1.22
40,651,4.95
0,652,4.19
44,653,3.76
44,654,3.38
2,655,1.54
40,656,2.21
58,657,4.83
40,658,8.04
19,659,1.02
58,660,5.22
44,661,5.73
58,662,2.85
5,663,1.46
71,664,3.38
19,665,1.7
31,666,2.52
40,667,3.62
2,668,0.1
92,669,1.9
0,670,5.51
44,671,1.9
0,672,2.17
40,673,6.43
2,674,0.73
15,675,3.07
19,676,0.7
19,677,1.83
0,678,4.41
44,679,8.65
58,680,3.93
31,681,7.06
44,682,5.32
19,683,4.27
39,684,3.05
19,685,2.89
44,686,4.14
31,687,5.53
44,688,3.85
97,689,5.9
70,690,3.02
44,691,6.21
44,692,4.18
0,693,3.09
19,694,4.15
0,695,4.0
92,696,1.5
40,697,2.21
70,698,7.87
0,699,5.27
58,700,5.11
58,701,4.38
40,702,3.07
5,703,1.59
97,704,1.45
40,705,0.61
70,706,1.8
71,707,2.0
40,708,4.77
44,709,2.89
0,710,6.18
44,711,2.81
0,712,5.6
19,713,4.88
44,714,4.63
44,715,2.96
40,716,4.35
44,717,2.64
0,718,0.98
0,719,1.85
19,720,2.19
39,721,1.99
19,722,6.17
44,723,7.2
31,724,4.18
44,725,7.0
19,726,2.36
0,727,3.4
0,728,1.55
44,729,3.34
19,730,2.94
44,731,5.55
40,732,1.93
40,733,4.75
58,734,5.38
70,735,5.25
97,736,2.11
31,737,3.11
44,738,4.29
44,739,5.7
40,740,4.54
0,741,2.04
31,742,3.33
19,743,3.37
44,744,1.05
40,745,1.73
40,746,5.79
0,747,2.6
70,748,2.39
58,749,0.66
19,750,2.19
70,751,2.32
44,752,4.57
40,753,8.0
58,754,3.26
70,755,0.85
0,756,3.11
44,757,3.64
58,758,5.95
0,759,3.15
2,760,4.17
44,761,3.35
0,762,6.44
44,763,1.26
40,764,4.53
19,765,3.42
44,766,5.19
97,767,4.03
44,768,2.95
40,769,8.21
0,770,6.29
0,771,3.61
0,772,2.79
40,773,3.5
39,774,1.75
2,775,4.52
0,776,4.13
0,777,6.52
58,778,5.74
19,779,3.63
71,780,3.41
44,781,5.52
40,782,0.91
19,783,0.78
71,784,2.24
44,785,0.92
19,786,6.67
58,787,4.97
19,788,3.05
19,789,0.9
0,790,5.59
0,791,6.1
0,792,4.27
40,793,4.64
58,794,3.69
44,795,2.62
40,796,2.69
2,797,1.42
58,798,7.14
40,799,5.6
40,800,5.07
58,801,5.52
40,802,3.08
58,803,6.23
58,804,3.76
0,805,5.28
0,806,3.62
58,807,1.76
0,808,1.33
31,809,2.11
97,810,0.5
58,811,4.8
19,812,1.16
44,813,3.21
0,814,4.9
31,815,4.15
71,816,2.62
97,817,1.08
97,818,4.71
40,819,8.63
58,820,5.05
97,821,0.03
19,822,1.74
44,823,6.85
44,824,5.24
58,825,2.84
0,826,4.69
58,827,4.63
97,828,4.1
31,829,3.46
58,830,4.04
19,831,3.85
0,832,7.72
58,833,4.83
2,834,2.4
40,835,1.58
31,836,4.48
31,837,4.35
92,838,1.19
40,839,1.33
71,840,1.08
40,841,5.04
58,842,7.93
0,843,5.05
0,844,4.38
58,845,3.05
31,846,3.26
19,847,1.18
0,848,4.7
19,849,5.84
58,850,5.97
44,851,5.55
40,852,1.09
15,853,2.22
40,854,2.45
19,855,1.8
70,856,1.34
44,857,6.64
97,858,0.52
70,859,6.97
58,860,2.81
58,861,3.61
0,862,1.6
40,863,2.73
0,864,7.81
44,865,6.22
44,866,5.55
40,867,3.35
0,868,8.83
44,869,6.92
19,870,1.81
31,871,3.91
19,872,4.76
0,873,6.99
44,874,1.19
58,875,1.62
58,876,5.87
44,877,3.81
58,878,4.0
70,879,5.29
44,880,5.7
44,881,4.03
0,882,3.61
71,883,1.75
71,884,1.39
31,885,3.37
19,886,2.15
70,887,8.32
58,888,6.83
44,889,4.14
2,890,1.66
31,891,3.93
44,892,2.49
44,893,1.15
0,894,2.63
44,895,5.77
92,896,1.78
0,897,5.68
19,898,8.1
40,899,6.01
70,900,1.37
40,901,7.79
44,902,2.04
0,903,5.51
15,904,3.3
0,905,6.35
44,906,6.23
44,907,5.46
44,908,2.3
70,909,1.5
92,910,3.56
44,911,4.28
97,912,0.62
44,913,5.62
44,914,2.59
58,915,5.89
31,916,3.82
0,917,2.21
0,918,6.84
0,919,3.14
44,920,3.65
2,921,2.04
58,922,1.94
92,923,4.44
19,924,2.05
58,925,5.42
40,926,4.08
0,927,6.41
40,928,4.98
70,929,4.47
97,930,5.39
40,931,3.75
0,932,6.36
70,933,1.41
40,934,5.16
58,935,5.72
97,936,5.07
92,937,3.43
40,938,3.06
0,939,4.67
40,940,6.2
5,941,1.19
44,942,4.19
2,943,5.52
70,944,2.15
58,945,2.81
44,946,3.06
44,947,3.85
58,948,4.75
44,949,0.7
70,950,0.19
58,951,4.08
19,952,2.42
40,953,1.24
70,954,2.47
31,955,2.57
0,956,7.6
40,957,2.86
58,958,2.9
44,959,0.66
92,960,4.29
97,961,5.25
58,962,2.66
44,963,4.04
44,964,4.73
0,965,5.81
0,966,5.8
31,967,5.45
19,968,2.54
92,969,2.95
40,970,1.67
40,971,4.16
44,972,4.04
40,973,2.8
44,974,6.82
58,975,5.28
58,976,1.33
70,977,1.03
71,978,2.03
44,979,3.82
0,980,7.38
92,981,2.26
0,982,2.5
44,983,4.11
19,984,2.32
97,985,3.09
58,986,7.67
19,987,1.88
15,988,3.52
0,989,4.35
92,990,2.03
0,991,0.85
0,992,1.41
40,993,3.01
0,994,4.83
31,995,4.75
58,996,5.77
58,997,5.95
44,998,6.35
40,999,1.39
44,1000,1.39
58,1001,6.02
40,1002,5.18
44,1003,3.14
0,1004,6.02
31,1005,2.57
40,1006,3.52
58,1007,6.35
44,1008,5.89
0,1009,6.79
40,1010,2.57
40,1011,2.28
31,1012,5.62
